The Lord of the Rings,Gary Russell,4.54,Characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lord of the Rings,John Ronald Reuel Tolkien,4.49,Fantasy fiction,http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Fellowship of the Ring,John Ronald Reuel Tolkien,4.35,Baggins,http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Lirael,Garth Nix,4.3,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tales from the Perilous Realm,John Ronald Reuel Tolkien,4.08,Fairy tales,http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Breaking Open the Head,Daniel Pinchbeck,4.06,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Yiddish Policemen's Union,Michael Chabon,3.7,Fiction,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Beware  Princess Elizabeth,Carolyn Meyer,3.88,Children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Family Way,Tony Parsons,3.51,Parenthood,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Endless Night,Agatha Christie,3.77,Fiction,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
How to be Alone,Jonathan Franzen,3.6,Literary collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mysterious Mr. Quin,Agatha Christie,3.72,Detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Listerdale Mystery,Agatha Christie,3.55,Detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Real Trial of Oscar Wilde,Merlin Holland,4.04,Biography & autobiography,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
I Can Read with Me Eyes Shut!,Dr. Seuss,4.2,Authors,http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Oh  the Places You'll Go!,Dr. Seuss,4.35,Adventure stories,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
If I Die in a Combat Zone,Tim O'Brien,3.95,Vietnam war,http://books.google.com/books/content?id=0qUtSvo_MiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Return of the King,J. R. R. Tolkien,4.52,Baggins,http://books.google.com/books/content?id=PI9zPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Silmarillion,John Ronald Reuel Tolkien,3.91,Fiction,http://books.google.com/books/content?id=hLH0dtl5NVwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
I Wish that I Had Duck Feet,Dr. Seuss,4.16,Children's stories,http://books.google.com/books/content?id=m9cZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Oh Say Can You Say?,Dr. Seuss,4.01,Children's stories,http://books.google.com/books/content?id=r4l8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
There's a Boy in the Girls' Bathroom,Louis Sachar,3.98,Boys,http://books.google.com/books/content?id=jHE-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Microserfs,Douglas Coupland,3.88,Computer programmers,http://books.google.com/books/content?id=N3AmmJIsK6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Miss Wyoming,Douglas Coupland,3.48,Actors,http://books.google.com/books/content?id=2zoTKFNdxpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Where Rainbows End,Cecelia Ahern,3.94,Friendship,http://books.google.com/books/content?id=PA7t62vA7SAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Poirot,Agatha Christie,4.2,Authors,http://books.google.com/books/content?id=lbOOJGLxM9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Art of The Lord of the Rings,Gary Russell,4.52,Costume,http://books.google.com/books/content?id=zl-PPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Known World,Edward P. Jones,3.83,African american plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,3.9,Conduct of life,http://books.google.com/books/content?id=4hVbNc8rRfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Naked Lunch,William S. Burroughs,3.44,Alienation (social psychology),http://books.google.com/books/content?id=1B36S7t4k5AC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tropic of Cancer,Henry Miller,3.69,Fiction,http://books.google.com/books/content?id=ProgRjTL8FIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Close Range,Annie Proulx,3.99,Cowboys,http://books.google.com/books/content?id=f-zI3bgDiCAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Love of the Last Tycoon,F. Scott Fitzgerald,3.65,Fiction,http://books.google.com/books/content?id=3EDbEHca_k8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Song of Rhiannon,Evangeline Walton,4.02,Fiction,
Heart Songs and Other Stories,Annie Proulx,3.93,Fiction,http://books.google.com/books/content?id=_K2fswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The voyage of the Dawn Treader,Clive Staples Lewis,4.09,Juvenile fiction,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Chronicles of Narnia: Lion  the witch and the wardrobe,Clive Staples Lewis,4.26,Fairy tales,
